id	text	count
5.65359e+17	@jorgeolson yelp buy 134 million wsj #olsonfacts	202
5.65175e+17	yelp acquired online food ordering startup 134 million cash stock	168
5.70384e+17	@alexxthegreat24 @shayygorgeous love dont change high key jealous af	109
5.65156e+17	yelp acquires online food ordering service @eat24 yelp family	102
5.70387e+17	@un1c0rn4 @patttttt @alexxthegreat24 @shayygorgeous love dont change high key jealous af	86
5.61942e+17	superman shit super bowl happy super bowl sunday watch ad @eat24 @snoopdogg	86
5.65271e+17	yelp buying food delivery service	80
5.62119e+17	game #hangry @eat24 @realgilbert #superbowlcommercials	79
5.65177e+17	yelp buy delivery network 134m ramp food operation @ingridlunden	73
5.65314e+17	yelp buy delivery network 134m ramp food operation	63
5.62023e+17	hangry aired #superbowl ad	61
5.65663e+17	@eat24 @omgitsfirefoxx #wcw birthday coincidence happy sonja day darling	58
5.62008e+17	@snoopdogg hangry @eat24 #superbowl commercial	56
5.65175e+17	yelp buy online food ordering service 134 million	55
5.65205e+17	yelp buy food ordering service 134 million	52
5.6204e+17	@eat24 fun fact @budweiser 4 social medium command center #sb49 1 tweeting	50
5.6637e+17	@eat24 salad caesar salad stab	49
5.65163e+17	boom watch world @yelp yelp acquires online food ordering service @eat24 yelp family	45
5.63498e+17	@realgilbert tha pickle 2 #nochill @eat24	42
5.62818e+17	threesome @eat24 @netflix	42
5.27598e+17	@eat24 order food online app kitchen #toofar	41
5.65178e+17	yelp acquired online food ordering startup 134 million cash stock	38
5.65222e+17	yelp gobble jump food delivery business	37
5.65571e+17	yelp acquired online food ordering startup jumped delivery space	37
5.65153e+17	yelp acquires online food ordering service 134m cash stock @harrisonweber	36
5.66193e+17	linguine bacon asparagus dried chilli จากร้าน capir ที่ asiatique @yummygallery	33
5.40958e+17	@eat24 order food online app kitchen #toofar	32
5.62069e+17	richard sherman	32
5.70384e+17	@patttttt @alexxthegreat24 @shayygorgeous love dont change high key jealous af	30
5.65231e+17	yelp delivery business acquisition @strngwys	30
5.62091e+17	@eat24 remake remake ghostbusters @snickers @officialdannyt @snoopdogg @realgilbert #stevebuscemi #superbowl	27
5.70983e+17	brand straightup #copywriting genius @patarmitage ft @intel @eat24	27
5.7037e+17	@alexxthegreat24 @shayygorgeous love dont change high key jealous af	26
5.68581e+17	@eat24 stop microwave 001 youre defusing bomb	26
5.65163e+17	yelp dive online food ordering biz buy 134m cash stock	23
5.65239e+17	free advise payment startup food delivery yelp buy delivery network 134m	23
5.62027e+17	@eat24 here vine @realgilbert wanted	23
5.66968e+17	uptick yelp gobble 134 million fight grubhub	21
5.67058e+17	@nsync @backstreetboys @nkotb supposed #snl40 tonight cook time @eat24 stat @nicoleisnik	20
5.65588e+17	yelp set buy 134 million	19
5.65339e+17	@alexxthegreat24 happened @johndoe2023	17
5.65223e+17	yelp pave simpler food ordering snapping	16
5.63152e+17	@eat24 day hunting wild burrito finally	16
5.65179e+17	yelp buy delivery network 134m ramp food operation @ingridlunden	16
5.65169e+17	yelp make big move acquiring 134 million	16
5.67437e+17	@alexxthegreat24 gonna fire stay warm today	14
5.70409e+17	@patttttt @alexxthegreat24 @shayygorgeous love dont change high key jealous af	14
5.61975e+17	#superbowl ad 2015 snoop dogg	13
5.70403e+17	@eat24 bacon soda	13
5.68956e+17	listen @eat24 travis hot @studio56k mine dont share order	13
5.68546e+17	thing real @eat24 #lootcrate	12
5.65296e+17	san franciscobased yelp purchase online takeout order site 134 million	12
5.71169e+17	@alexxthegreat24 @yxngflackoo lil einstein gate remix dude straight ignorant ion tire	12
5.70406e+17	awwwwwwww @patttttt @alexxthegreat24 @shayygorgeous love dont change high key jealous af	12
5.68281e+17	@eat24 good date end pant date pantless start	12
5.6206e+17	@eat24 @katyperry #halftimeshow	12
5.70272e+17	@alexxthegreat24 white people wearing short snow ground	11
5.653e+17	order food @eat24 #waitingforthedrill	11
5.65204e+17	yelp expands online food ordering purchase	11
5.64299e+17	@eat24 95 marshmallow fluff harvested great stay puft assault york circa 1984 #science	10
5.62705e+17	@eat24 offer buy lunch	10
5.65213e+17	yelp buy make ordering takeout phone easier #android	10
5.7117e+17	@alexxthegreat24 @yg215 thought bunny	10
5.43472e+17	@jenstaker @eat24 email marketing land	9
5.65286e+17	@eat24 guy love support decision married @yelp pant nat	9
5.6735e+17	@rbegreat24 idk micah personally told story inspiration time #getmicahonsportscenter	9
5.64958e+17	@eat24 feeling imagine celery feel	9
5.65152e+17	whoa yelp acquired theyre raising guidance	9
5.71535e+17	guy @queenkeeks expert margarita fashion ordering extra jalapeno pizza #eat24randomshoutout	9
5.69258e+17	@eat24 baby raw eating carrot friend	9
5.63594e+17	couch nice buttgroove work art @eat24 #haiku	9
5.68999e+17	@eat24 sausage patty called sausage patricia mom mad #foodfacts	9
5.62057e+17	@eat24 beach ball spirit animal #halftime	9
5.62461e+17	@eat24 2 friend 1 order fry friend #math	9
5.66707e+17	@eat24 chicken nugget fish stick #deepquestions	9
5.62056e+17	@eat24 @alorasdad @mikakiki @realgilbert case missed	8
5.71505e+17	@eat24 eating egg white eating frosting stop	8
5.70083e+17	@alexxthegreat24 @itsworidstar james harden professional ankle breaker @ballen22	8
5.70765e+17	@eat24 pizza shoe roll deal	8
5.6712e+17	#snowhere fast snowst opted delivery @eat24 #bosnow #bostonsnowstorm	8
5.62042e+17	@alexxthegreat24 falcon	8
5.6574e+17	@eat24 youve pizza eat slice #protip	8
5.68917e+17	@eat24 cream cheese found cheese frosting	8
5.65193e+17	goodness yelp buy food delivery ramp restaurant delivery smart move	8
5.62434e+17	@eat24 enlightenment period history people realized burrito #foodhistory	8
5.66676e+17	@eat24 person knew biscuit combined cheddar #youtherealmvp	8
5.70452e+17	@eat24 take tango finish xl pizza	8
5.65364e+17	@eat24 dont confuse jalapeno popper jalapeno poopers exciting fun ruin party	8
5.70046e+17	@ktownheat24 coolin dolo	8
5.67111e+17	@alexxthegreat24 snow snow cream	8
5.67522e+17	@alexxthegreat24 @ogtonto @harmoniee fuck watch beat fye tho	8
5.69663e+17	@eat24 neat trick make cooky cooky lick #themoreyouknow	8
5.70431e+17	@lydeshan @alexxthegreat24 @shayygorgeous love dont change high key jealous af awwww	8
5.65204e+17	bit blog yelp buy online foodordering service 134 million	8
5.70212e+17	@alexxthegreat24 gotta wal mart milk bread make milk sandwich	8
5.66399e+17	@eat24 food #3wordssweeterthaniloveyou	8
5.62075e+17	@eat24 #upforwhatever @budlight asl	7
5.62038e+17	@eat24 team eats hot dog game 72 win #notfactchecked	7
5.65617e+17	@eat24 walk briefcase full cheeseburger question theyre question youre	7
5.62078e+17	theyre delivering egg roll @eat24 #hangry #staypowerful	7
5.65325e+17	yelp married internal memo ceo nadav sharon	7
